Site,Plot,Transect,Observer,Indicator,Value_pct
Sinclair Wash,1,CAL,SS,FoliarCover,42.0
Sinclair Wash,1,CAL,SS,BareGround,31.0
Sinclair Wash,1,CAL,SS,LitterCover,20.0
Sinclair Wash,1,CAL,JD,FoliarCover,46.0
Sinclair Wash,1,CAL,JD,BareGround,28.0
Sinclair Wash,1,CAL,JD,LitterCover,22.0
Sinclair Wash,1,CAL,MR,FoliarCover,38.0
Sinclair Wash,1,CAL,MR,BareGround,39.0
Sinclair Wash,1,CAL,MR,LitterCover,15.0
Sinclair Wash,1,CAL,TN,FoliarCover,44.0
Sinclair Wash,1,CAL,TN,BareGround,30.0
Sinclair Wash,1,CAL,TN,LitterCover,21.0
