PlantID,Pot_number,Plant_species,Germinated,Survival_week1,Height_week1,Survival_week2,Height_week2,Survival_week3,Height_week3,Survival_week4,Height_week4,Survival_week5,Height_week5
1,1,A,,,,,,,,,,,
2,1,B,,,,,,,,,,,
3,2,A,,,,,,,,,,,
4,2,B,,,,,,,,,,,
5,3,A,,,,,,,,,,,
6,3,B,,,,,,,,,,,
7,4,A,,,,,,,,,,,
8,4,B,,,,,,,,,,,
9,5,A,,,,,,,,,,,
10,5,B,,,,,,,,,,,
11,6,A,,,,,,,,,,,
12,6,B,,,,,,,,,,,
13,7,A,,,,,,,,,,,
14,7,B,,,,,,,,,,,
15,8,A,,,,,,,,,,,
16,8,B,,,,,,,,,,,
17,9,A,,,,,,,,,,,
18,9,B,,,,,,,,,,,
19,10,A,,,,,,,,,,,
20,10,B,,,,,,,,,,,
21,11,A,,,,,,,,,,,
22,11,B,,,,,,,,,,,
23,12,A,,,,,,,,,,,
24,12,B,,,,,,,,,,,
