"Observer","Site","Species","FocalID","GroupSize","DistToCover_m","Interval","Behavior"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,1,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,2,"REST"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,3,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,4,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,5,"LOC"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,6,"VIG"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,7,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,8,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,9,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,10,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,11,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,12,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,13,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,14,"LOC"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,15,"LOC"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,16,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,17,"LOC"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,18,"LOC"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,19,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,20,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,21,"REST"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,22,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,23,"OTH"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,24,"OTH"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,25,"FOR"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,26,"LOC"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,27,"OTH"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,28,"VIG"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,29,"LOC"
"KLM","NorthCampus","Sciurus aberti","A1",3,1,30,"OTH"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,1,"OTH"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,2,"LOC"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,3,"LOC"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,4,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,5,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,6,"VIG"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,7,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,8,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,9,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,10,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,11,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,12,"OTH"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,13,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,14,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,15,"FOR"
"KLM","NorthCampus","Sciurus aberti","A2",1,2,16,"FOR"
