"BagID","Factor","Level","Site","Replicate","InitialMass_g","FinalMass_g","Days"
"B01","LitterType","PonderosaNeedle","NorthCampus",1,5.11,4.93,70
"B02","LitterType","PonderosaNeedle","NorthCampus",2,5.02,4.83,70
"B03","LitterType","PonderosaNeedle","NorthCampus",3,5.11,4.97,70
"B04","LitterType","PonderosaNeedle","NorthCampus",4,5.01,4.72,70
"B05","LitterType","PonderosaNeedle","NorthCampus",5,4.93,4.73,70
"B06","LitterType","PonderosaNeedle","NorthCampus",6,5.08,4.89,70
"B07","LitterType","GambelOakLeaf","NorthCampus",1,5.11,4.81,70
"B08","LitterType","GambelOakLeaf","NorthCampus",2,5.04,4.64,70
"B09","LitterType","GambelOakLeaf","NorthCampus",3,4.99,4.58,70
"B10","LitterType","GambelOakLeaf","NorthCampus",4,5.07,4.76,70
"B11","LitterType","GambelOakLeaf","NorthCampus",5,5.01,4.61,70
"B12","LitterType","GambelOakLeaf","NorthCampus",6,5.03,4.56,70
"B13","LitterType","TeaRooibos","NorthCampus",1,5.01,4.51,70
"B14","LitterType","TeaRooibos","NorthCampus",2,5.04,4.29,70
"B15","LitterType","TeaRooibos","NorthCampus",3,4.95,4.2,70
"B16","LitterType","TeaRooibos","NorthCampus",4,5.03,4.41,70
"B17","LitterType","TeaRooibos","NorthCampus",5,5.05,4.47,70
"B18","LitterType","TeaRooibos","NorthCampus",6,5,4.48,70
"B19","LitterType","TeaGreen","NorthCampus",1,4.94,2.53,70
"B20","LitterType","TeaGreen","NorthCampus",2,5.02,2.41,70
"B21","LitterType","TeaGreen","NorthCampus",3,5.02,2.46,70
"B22","LitterType","TeaGreen","NorthCampus",4,4.97,2.49,70
"B23","LitterType","TeaGreen","NorthCampus",5,4.98,2.06,70
"B24","LitterType","TeaGreen","NorthCampus",6,4.99,3.05,70
