MouseCoatColor,Order_LightesttoDarkest,Frequency,Generation
White,1,12,1stGen
Peach,2,12,1stGen
Yellow,3,12,1stGen
Green,4,12,1stGen
Light blue,5,12,1stGen
Pink,6,12,1stGen
Hot pink,7,12,1stGen
Black,8,12,1stGen
White,1,4,2ndGen
Peach,2,5,2ndGen
Yellow,3,6,2ndGen
Green,4,8,2ndGen
Light blue,5,15,2ndGen
Pink,6,14,2ndGen
Hot pink,7,14,2ndGen
Black,8,18,2ndGen
White,1,1,3rdGen
Peach,2,2,3rdGen
Yellow,3,3,3rdGen
Green,4,4,3rdGen
Light blue,5,17,3rdGen
Pink,6,18,3rdGen
Hot pink,7,19,3rdGen
Black,8,20,3rdGen
White,1,0,4thGen
Peach,2,0,4thGen
Yellow,3,0,4thGen
Green,4,2,4thGen
Light blue,5,17,4thGen
Pink,6,18,4thGen
Hot pink,7,21,4thGen
Black,8,26,4thGen
