"Longitude","Latitude","species"
-118.104728,34.258087,1
-117.673228,48.46645,1
-117.195687,46.728222,1
-121.879582,42.641593,1
-104.887119,38.624731,1
-120.332478,39.578444,1
-119.978286,34.738342,1
-105.331568,35.309296,1
-122.817289,43.960894,1
-111.332787,34.24644,1
-117.153741,46.095728,1
-118.171794,48.200586,1
-120.765472,50.123578,1
-113.162149,37.507242,1
-114.099094,47.032965,1
-117.302706,48.348383,1
-117.272113,44.858685,1
-119.886664,37.655061,1
-111.523262,35.363728,1
-104.844808,31.91582,1
-117.278336,45.670944,1
-109.493775,37.991017,1
-112.924839,37.291783,1
-116.62979,46.236947,1
-116.660337,46.51495,1
-116.262935,46.508165,1
-111.361572,37.853233,1
-108.648238,33.535338,1
-108.036789,33.465703,1
-117.551893,44.263963,1
-121.032972,39.263612,1
-105.726703,34.188255,1
-103.86702,44.497345,1
-121.827238,43.483437,1
-122.605932,41.600505,1
-118.500305,37.412113,1
-117.568886,48.131622,1
-121.340709,50.639522,1
-118.517255,45.191353,1
-118.951413,44.986768,1
-121.545114,37.190829,1
-119.108075,44.695927,1
-115.476333,36.102067,1
-104.180904,43.922365,1
-108.583569,46.528839,1
-108.67799,48.039302,1
-117.701498,44.530375,1
-118.99286,43.798055,1
-119.548269,37.752408,1
-120.135947,49.3708,1
-108.432286,32.571333,1
-116.060708,50.603625,1
-108.212811,32.925834,1
-109.196189,38.611688,1
-121.032619,43.876955,1
-118.087045,45.383672,1
-108.515638,35.375214,1
-115.781617,43.547013,1
-116.735154,47.750272,1
-120.30777,47.672607,1
-122.590977,42.748627,1
-121.929232,45.64133,1
-116.8603,45.529778,1
-114.121018,48.36309,1
-107.200131,34.045197,1
-111.588368,41.84483,1
-123.036761,44.928134,1
-107.009858,36.071033,1
-121.631184,42.119685,1
-106.551923,35.223477,1
-121.097174,48.700549,1
-118.268785,44.410933,1
-120.482863,46.855308,1
-108.380769,33.377858,1
-118.671188,50.263724,1
-118.463268,45.553347,1
-111.440895,33.989297,1
-118.399491,47.695078,1
-121.967163,44.288066,1
-118.07351,44.748732,1
-103.910678,42.74335,1
-105.46557,39.428597,1
-103.562067,43.339342,1
-120.576308,49.369346,1
-104.956546,37.920686,1
-118.968537,45.283012,1
-106.142792,38.739716,1
-122.40391,43.503512,1
-93.613831,44.746931,1
-122.428489,42.282851,1
-112.393788,42.750803,1
-120.217781,47.264114,1
-121.049768,49.004003,1
-116.794761,49.337611,1
-115.65348,36.339783,1
-115.092067,47.691238,1
-119.089676,50.582539,1
-109.503407,34.054472,1
-116.238541,43.654763,1
-113.806269,36.783525,1
-109.103499,36.210524,1
-112.656928,37.093078,1
-110.303603,31.42908,1
-105.18408,40.966545,1
-116.045294,46.021096,1
-112.238678,37.473317,1
-120.582693,47.472812,1
-113.539445,36.176255,1
-106.276603,35.79087,1
-120.935516,46.964179,1
-110.792767,39.050358,1
-112.058096,36.213472,1
-121.53402,43.771038,1
-122.534286,45.139086,1
-119.577033,49.605725,1
-100.325714,41.861786,1
-118.961818,44.083435,1
-123.039592,43.245673,1
-121.125735,46.505047,1
-122.956619,40.298342,1
-120.082319,44.894894,1
-111.945587,37.743942,1
-105.478658,40.77947,1
-112.054078,46.589103,1
-117.570878,46.312725,1
-105.891972,35.688263,1
-119.903597,47.821809,1
-123.084617,45.275095,1
-113.515471,47.188101,1
-122.512961,43.084212,1
-111.253731,34.548769,1
-106.368462,39.098422,1
-112.476333,38.25732,1
-122.7965,45.519838,1
-105.67528,35.414231,1
-107.251527,39.56565,1
-105.270447,36.593283,1
-121.637821,44.434064,1
-105.5056,38.455405,1
-113.6832,46.907888,1
-115.858117,50.181745,1
-113.879549,37.154798,1
-105.747125,32.949713,1
-123.021942,40.96918,1
-121.330137,46.95474,1
-118.635123,36.188234,1
-106.428467,34.575528,1
-120.601459,38.408567,1
-115.309028,44.146481,1
-111.758401,34.969457,1
-109.275873,46.817718,1
-105.285663,39.708522,1
-105.673733,39.74734,1
-106.024667,39.647387,1
-106.66252,39.688797,1
-119.726157,48.497939,1
