Field,Value
Site,
Plot,
Date,
Observers,
Recorder,
Latitude_dd,
Longitude_dd,
GPS_accuracy_m,
Elevation_m,
Slope_pct,
Aspect_deg_magnetic,
Slope_shape_downslope (concave / linear / convex),
Slope_shape_acrossslope (concave / linear / convex),
Landform (hill-mountain / alluvial fan / floodplain-basin / terrace / flat-plain / playa / dunes),
Hillslope_position (summit / shoulder / backslope / footslope / toeslope),
Terrace_position (tread / riser / NA),
Surface_rock_fragments_pct,
Erosion_features_observed,
Disturbance_observed,
Transect_A_bearing_deg,
Transect_B_bearing_deg,
Transect_C_bearing_deg,
Transect_length_m,25
Points_per_transect,50
Point_spacing_m,0.5
Canopy_gap_minimum_cm,25
Gap_vegetation_rule (perennial only / annual and perennial),
Soil_map_unit_symbol,
Soil_map_unit_name,
Ecological_site_name,
Ecological_site_ID,
Weather,
Notes,
