Site,Group,IndividualID,Value,ValueType
CampusStand,Plot1_Unthinned,1,4.2,DBH_cm
CampusStand,Plot1_Unthinned,2,6.1,DBH_cm
CampusStand,Plot1_Unthinned,3,19.8,DBH_cm
CampusStand,Plot1_Unthinned,4,21.3,DBH_cm
CampusStand,Plot1_Unthinned,5,22.7,DBH_cm
CampusStand,Plot1_Unthinned,6,23.1,DBH_cm
CampusStand,Plot1_Unthinned,7,24.5,DBH_cm
CampusStand,Plot1_Unthinned,8,25.0,DBH_cm
CampusStand,Plot1_Unthinned,9,26.2,DBH_cm
CampusStand,Plot1_Unthinned,10,27.4,DBH_cm
CampusStand,Plot1_Unthinned,11,28.1,DBH_cm
CampusStand,Plot1_Unthinned,12,29.6,DBH_cm
CampusStand,Plot1_Unthinned,13,30.2,DBH_cm
CampusStand,Plot1_Unthinned,14,31.8,DBH_cm
CampusStand,Plot1_Unthinned,15,33.4,DBH_cm
CampusStand,Plot1_Unthinned,16,44.6,DBH_cm
CampusStand,Plot1_Unthinned,17,52.1,DBH_cm
CampusStand,Plot2_Thinned,18,2.8,DBH_cm
CampusStand,Plot2_Thinned,19,3.5,DBH_cm
CampusStand,Plot2_Thinned,20,4.9,DBH_cm
CampusStand,Plot2_Thinned,21,5.6,DBH_cm
CampusStand,Plot2_Thinned,22,7.2,DBH_cm
CampusStand,Plot2_Thinned,23,8.8,DBH_cm
CampusStand,Plot2_Thinned,24,11.4,DBH_cm
CampusStand,Plot2_Thinned,25,13.0,DBH_cm
CampusStand,Plot2_Thinned,26,16.7,DBH_cm
CampusStand,Plot2_Thinned,27,19.2,DBH_cm
CampusStand,Plot2_Thinned,28,24.8,DBH_cm
CampusStand,Plot2_Thinned,29,31.5,DBH_cm
CampusStand,Plot2_Thinned,30,38.9,DBH_cm
CampusStand,Plot2_Thinned,31,47.2,DBH_cm
CampusStand,Plot2_Thinned,32,58.3,DBH_cm
CampusStand,Plot2_Thinned,33,66.1,DBH_cm
