SpecimenID,Scorer,Criterion,Score,Notes
OWN,,Reproductive material present,,
OWN,,Reproductive material easily viewed,,
OWN,,Upper leaf surface visible,,
OWN,,Lower leaf surface visible,,
OWN,,Roots and stems included,,
OWN,,Plant fills most of the sheet,,
OWN,,Material stays clear of the sheet edges,,
OWN,,Leaves spread and not overlapping,,
OWN,,Fragment packet present,,
OWN,,Label gives a relocatable locality,,
OWN,,Label gives date and collector,,
OWN,,Label gives elevation and habitat,,
OWN,,Label printing is water-resistant,,
OWN,,Mounting paper archival,,
OWN,,Specimen securely fastened,,
